GEO.id,Id
GEO.id2,Id2
GEO.display-label,Geography
HD01_VD01,Estimate; Total:
HD02_VD01,Margin of Error; Total:
HD01_VD03,"Estimate; Total: - $1 to $9,999 or loss"
HD02_VD03,"Margin of Error; Total: - $1 to $9,999 or loss"
HD01_VD04,"Estimate; Total: - $10,000 to $14,999"
HD02_VD04,"Margin of Error; Total: - $10,000 to $14,999"
HD01_VD05,"Estimate; Total: - $15,000 to $24,999"
HD02_VD05,"Margin of Error; Total: - $15,000 to $24,999"
HD01_VD06,"Estimate; Total: - $25,000 to $34,999"
HD02_VD06,"Margin of Error; Total: - $25,000 to $34,999"
HD01_VD07,"Estimate; Total: - $35,000 to $49,999"
HD02_VD07,"Margin of Error; Total: - $35,000 to $49,999"
HD01_VD08,"Estimate; Total: - $50,000 to $64,999"
HD02_VD08,"Margin of Error; Total: - $50,000 to $64,999"
HD01_VD09,"Estimate; Total: - $65,000 to $74,999"
HD02_VD09,"Margin of Error; Total: - $65,000 to $74,999"
HD01_VD10,"Estimate; Total: - $75,000 or more"
HD02_VD10,"Margin of Error; Total: - $75,000 or more"
HD01_VD11,"Estimate; Total: - Car, truck, or van - drove alone:"
HD02_VD11,"Margin of Error; Total: - Car, truck, or van - drove alone:"
HD01_VD12,"Estimate; Total: - Car, truck, or van - drove alone: - $1 to $9,999 or loss"
HD02_VD12,"Margin of Error; Total: - Car, truck, or van - drove alone: - $1 to $9,999 or loss"
HD01_VD13,"Estimate; Total: - Car, truck, or van - drove alone: - $10,000 to $14,999"
HD02_VD13,"Margin of Error; Total: - Car, truck, or van - drove alone: - $10,000 to $14,999"
HD01_VD14,"Estimate; Total: - Car, truck, or van - drove alone: - $15,000 to $24,999"
HD02_VD14,"Margin of Error; Total: - Car, truck, or van - drove alone: - $15,000 to $24,999"
HD01_VD15,"Estimate; Total: - Car, truck, or van - drove alone: - $25,000 to $34,999"
HD02_VD15,"Margin of Error; Total: - Car, truck, or van - drove alone: - $25,000 to $34,999"
HD01_VD16,"Estimate; Total: - Car, truck, or van - drove alone: - $35,000 to $49,999"
HD02_VD16,"Margin of Error; Total: - Car, truck, or van - drove alone: - $35,000 to $49,999"
HD01_VD17,"Estimate; Total: - Car, truck, or van - drove alone: - $50,000 to $64,999"
HD02_VD17,"Margin of Error; Total: - Car, truck, or van - drove alone: - $50,000 to $64,999"
HD01_VD18,"Estimate; Total: - Car, truck, or van - drove alone: - $65,000 to $74,999"
HD02_VD18,"Margin of Error; Total: - Car, truck, or van - drove alone: - $65,000 to $74,999"
HD01_VD19,"Estimate; Total: - Car, truck, or van - drove alone: - $75,000 or more"
HD02_VD19,"Margin of Error; Total: - Car, truck, or van - drove alone: - $75,000 or more"
HD01_VD20,"Estimate; Total: - Car, truck, or van - carpooled:"
HD02_VD20,"Margin of Error; Total: - Car, truck, or van - carpooled:"
HD01_VD21,"Estimate; Total: - Car, truck, or van - carpooled: - $1 to $9,999 or loss"
HD02_VD21,"Margin of Error; Total: - Car, truck, or van - carpooled: - $1 to $9,999 or loss"
HD01_VD22,"Estimate; Total: - Car, truck, or van - carpooled: - $10,000 to $14,999"
HD02_VD22,"Margin of Error; Total: - Car, truck, or van - carpooled: - $10,000 to $14,999"
HD01_VD23,"Estimate; Total: - Car, truck, or van - carpooled: - $15,000 to $24,999"
HD02_VD23,"Margin of Error; Total: - Car, truck, or van - carpooled: - $15,000 to $24,999"
HD01_VD24,"Estimate; Total: - Car, truck, or van - carpooled: - $25,000 to $34,999"
HD02_VD24,"Margin of Error; Total: - Car, truck, or van - carpooled: - $25,000 to $34,999"
HD01_VD25,"Estimate; Total: - Car, truck, or van - carpooled: - $35,000 to $49,999"
HD02_VD25,"Margin of Error; Total: - Car, truck, or van - carpooled: - $35,000 to $49,999"
HD01_VD26,"Estimate; Total: - Car, truck, or van - carpooled: - $50,000 to $64,999"
HD02_VD26,"Margin of Error; Total: - Car, truck, or van - carpooled: - $50,000 to $64,999"
HD01_VD27,"Estimate; Total: - Car, truck, or van - carpooled: - $65,000 to $74,999"
HD02_VD27,"Margin of Error; Total: - Car, truck, or van - carpooled: - $65,000 to $74,999"
HD01_VD28,"Estimate; Total: - Car, truck, or van - carpooled: - $75,000 or more"
HD02_VD28,"Margin of Error; Total: - Car, truck, or van - carpooled: - $75,000 or more"
HD01_VD29,Estimate; Total: - Public transportation (excluding taxicab):
HD02_VD29,Margin of Error; Total: - Public transportation (excluding taxicab):
HD01_VD30,"Estimate; Total: - Public transportation (excluding taxicab): - $1 to $9,999 or loss"
HD02_VD30,"Margin of Error; Total: - Public transportation (excluding taxicab): - $1 to $9,999 or loss"
HD01_VD31,"Estimate; Total: - Public transportation (excluding taxicab): - $10,000 to $14,999"
HD02_VD31,"Margin of Error; Total: - Public transportation (excluding taxicab): - $10,000 to $14,999"
HD01_VD32,"Estimate; Total: - Public transportation (excluding taxicab): - $15,000 to $24,999"
HD02_VD32,"Margin of Error; Total: - Public transportation (excluding taxicab): - $15,000 to $24,999"
HD01_VD33,"Estimate; Total: - Public transportation (excluding taxicab): - $25,000 to $34,999"
HD02_VD33,"Margin of Error; Total: - Public transportation (excluding taxicab): - $25,000 to $34,999"
HD01_VD34,"Estimate; Total: - Public transportation (excluding taxicab): - $35,000 to $49,999"
HD02_VD34,"Margin of Error; Total: - Public transportation (excluding taxicab): - $35,000 to $49,999"
HD01_VD35,"Estimate; Total: - Public transportation (excluding taxicab): - $50,000 to $64,999"
HD02_VD35,"Margin of Error; Total: - Public transportation (excluding taxicab): - $50,000 to $64,999"
HD01_VD36,"Estimate; Total: - Public transportation (excluding taxicab): - $65,000 to $74,999"
HD02_VD36,"Margin of Error; Total: - Public transportation (excluding taxicab): - $65,000 to $74,999"
HD01_VD37,"Estimate; Total: - Public transportation (excluding taxicab): - $75,000 or more"
HD02_VD37,"Margin of Error; Total: - Public transportation (excluding taxicab): - $75,000 or more"
HD01_VD38,Estimate; Total: - Walked:
HD02_VD38,Margin of Error; Total: - Walked:
HD01_VD39,"Estimate; Total: - Walked: - $1 to $9,999 or loss"
HD02_VD39,"Margin of Error; Total: - Walked: - $1 to $9,999 or loss"
HD01_VD40,"Estimate; Total: - Walked: - $10,000 to $14,999"
HD02_VD40,"Margin of Error; Total: - Walked: - $10,000 to $14,999"
HD01_VD41,"Estimate; Total: - Walked: - $15,000 to $24,999"
HD02_VD41,"Margin of Error; Total: - Walked: - $15,000 to $24,999"
HD01_VD42,"Estimate; Total: - Walked: - $25,000 to $34,999"
HD02_VD42,"Margin of Error; Total: - Walked: - $25,000 to $34,999"
HD01_VD43,"Estimate; Total: - Walked: - $35,000 to $49,999"
HD02_VD43,"Margin of Error; Total: - Walked: - $35,000 to $49,999"
HD01_VD44,"Estimate; Total: - Walked: - $50,000 to $64,999"
HD02_VD44,"Margin of Error; Total: - Walked: - $50,000 to $64,999"
HD01_VD45,"Estimate; Total: - Walked: - $65,000 to $74,999"
HD02_VD45,"Margin of Error; Total: - Walked: - $65,000 to $74,999"
HD01_VD46,"Estimate; Total: - Walked: - $75,000 or more"
HD02_VD46,"Margin of Error; Total: - Walked: - $75,000 or more"
HD01_VD47,"Estimate; Total: - Taxicab, motorcycle, bicycle, or other means:"
HD02_VD47,"Margin of Error; Total: - Taxicab, motorcycle, bicycle, or other means:"
HD01_VD48,"Estimate; Total: - Taxicab, motorcycle, bicycle, or other means: - $1 to $9,999 or loss"
HD02_VD48,"Margin of Error; Total: - Taxicab, motorcycle, bicycle, or other means: - $1 to $9,999 or loss"
HD01_VD49,"Estimate; Total: - Taxicab, motorcycle, bicycle, or other means: - $10,000 to $14,999"
HD02_VD49,"Margin of Error; Total: - Taxicab, motorcycle, bicycle, or other means: - $10,000 to $14,999"
HD01_VD50,"Estimate; Total: - Taxicab, motorcycle, bicycle, or other means: - $15,000 to $24,999"
HD02_VD50,"Margin of Error; Total: - Taxicab, motorcycle, bicycle, or other means: - $15,000 to $24,999"
HD01_VD51,"Estimate; Total: - Taxicab, motorcycle, bicycle, or other means: - $25,000 to $34,999"
HD02_VD51,"Margin of Error; Total: - Taxicab, motorcycle, bicycle, or other means: - $25,000 to $34,999"
HD01_VD52,"Estimate; Total: - Taxicab, motorcycle, bicycle, or other means: - $35,000 to $49,999"
HD02_VD52,"Margin of Error; Total: - Taxicab, motorcycle, bicycle, or other means: - $35,000 to $49,999"
HD01_VD53,"Estimate; Total: - Taxicab, motorcycle, bicycle, or other means: - $50,000 to $64,999"
HD02_VD53,"Margin of Error; Total: - Taxicab, motorcycle, bicycle, or other means: - $50,000 to $64,999"
HD01_VD54,"Estimate; Total: - Taxicab, motorcycle, bicycle, or other means: - $65,000 to $74,999"
HD02_VD54,"Margin of Error; Total: - Taxicab, motorcycle, bicycle, or other means: - $65,000 to $74,999"
HD01_VD55,"Estimate; Total: - Taxicab, motorcycle, bicycle, or other means: - $75,000 or more"
HD02_VD55,"Margin of Error; Total: - Taxicab, motorcycle, bicycle, or other means: - $75,000 or more"
HD01_VD56,Estimate; Total: - Worked at home:
HD02_VD56,Margin of Error; Total: - Worked at home:
HD01_VD57,"Estimate; Total: - Worked at home: - $1 to $9,999 or loss"
HD02_VD57,"Margin of Error; Total: - Worked at home: - $1 to $9,999 or loss"
HD01_VD58,"Estimate; Total: - Worked at home: - $10,000 to $14,999"
HD02_VD58,"Margin of Error; Total: - Worked at home: - $10,000 to $14,999"
HD01_VD59,"Estimate; Total: - Worked at home: - $15,000 to $24,999"
HD02_VD59,"Margin of Error; Total: - Worked at home: - $15,000 to $24,999"
HD01_VD60,"Estimate; Total: - Worked at home: - $25,000 to $34,999"
HD02_VD60,"Margin of Error; Total: - Worked at home: - $25,000 to $34,999"
HD01_VD61,"Estimate; Total: - Worked at home: - $35,000 to $49,999"
HD02_VD61,"Margin of Error; Total: - Worked at home: - $35,000 to $49,999"
HD01_VD62,"Estimate; Total: - Worked at home: - $50,000 to $64,999"
HD02_VD62,"Margin of Error; Total: - Worked at home: - $50,000 to $64,999"
HD01_VD63,"Estimate; Total: - Worked at home: - $65,000 to $74,999"
HD02_VD63,"Margin of Error; Total: - Worked at home: - $65,000 to $74,999"
HD01_VD64,"Estimate; Total: - Worked at home: - $75,000 or more"
HD02_VD64,"Margin of Error; Total: - Worked at home: - $75,000 or more"
